Id	Debate	Text	Type	Score
611	FIRST	Race has been a big issue in this campaign, and one of you is going to have to bridge a very wide and bitter gap.	-0.716114	negative
612	FIRST	So how do you heal the divide?	-0.57586	negative
613	FIRST	Secretary Clinton, you get two minutes on this.	0	neutral
614	FIRST	Well, you're right.	0.803994	positive
615	FIRST	Race remains a significant challenge in our country.	0.728976	positive
616	FIRST	Unfortunately, race still determines too much, often determines where people live, determines what kind of education in their public schools they can get, and, yes, it determines how they're treated in the criminal justice system.	0	neutral
617	FIRST	We've just seen those two tragic examples in both Tulsa and Charlotte.	0	neutral
618	FIRST	And we've got to do several things at the same time.	0	neutral
619	FIRST	We have to restore trust between communities and the police.	0.57353	positive
620	FIRST	We have to work to make sure that our police are using the best training, the best techniques, that they're well prepared to use force only when necessary.	0.603302	positive
621	FIRST	Everyone should be respected by the law, and everyone should respect the law.	0.76091	positive
622	FIRST	Right now, that's not the case in a lot of our neighborhoods.	0	neutral
623	FIRST	So I have, ever since the first day of my campaign, called for criminal justice reform.	0	neutral
624	FIRST	I've laid out a platform that I think would begin to remedy some of the problems we have in the criminal justice system.	0	neutral
625	FIRST	But we also have to recognize, in addition to the challenges that we face with policing, there are so many good, brave police officers who equally want reform.	0	neutral
626	FIRST	So we have to bring communities together in order to begin working on that as a mutual goal.	0	neutral
627	FIRST	And we've got to get guns out of the hands of people who should not have them.	0	neutral
628	FIRST	The gun epidemic is the leading cause of death of young African- American men, more than the next nine causes put together.	-0.614322	negative
629	FIRST	So we have to do two things, as I said.	-0.294612	negative
630	FIRST	We have to restore trust.	0.725359	positive
631	FIRST	We have to work with the police.	-0.500527	negative
632	FIRST	We have to make sure they respect the communities and the communities respect them.	0.648732	positive
633	FIRST	And we have to tackle the plague of gun violence, which is a big contributor to a lot of the problems that we're seeing today.	-0.626697	negative
634	FIRST	All right, Mr. Trump, you have two minutes.	0	neutral
635	FIRST	How do you heal the divide?	-0.610031	negative
636	FIRST	Well, first of all, Secretary Clinton doesn't want to use a couple of words, and that's law and order.	0	neutral
637	FIRST	And we need law and order.	0	neutral
638	FIRST	If we don't have it, we're not going to have a country.	-0.545341	negative
639	FIRST	And when I look at what's going on in Charlotte, a city I love, a city where I have investments, when I look at what's going on throughout various parts of our country, whether it's -- I mean, I can just keep naming them all day long -- we need law and order in our country.	0.546255	positive
640	FIRST	I just got today the, as you know, the endorsement of the Fraternal Order of Police, we just -- just came in.	0	neutral
641	FIRST	We have endorsements from, I think, almost every police group, very -- I mean, a large percentage of them in the United States.	0	neutral
642	FIRST	We have a situation where we have our inner cities, African- Americans, Hispanics are living in he'll because it's so dangerous.	-0.745552	negative
643	FIRST	You walk down the street, you get shot.	0	neutral
644	FIRST	In Chicago, they've had thousands of shootings, thousands since January 1st.	-0.341859	negative
645	FIRST	Thousands of shootings.	-0.700585	negative
646	FIRST	And I'm saying, where is this?	-0.529104	negative
647	FIRST	Is this a war-torn country?	-0.727008	negative
648	FIRST	What are we doing?	0	neutral
649	FIRST	And we have to stop the violence.	-0.468292	negative
650	FIRST	We have to bring back law and order.	0	neutral
651	FIRST	In a place like Chicago, where thousands of people have been killed, thousands over the last number of years, in fact, almost 4,000 have been killed since Barack Obama became president, over -- almost 4,000 people in Chicago have been killed.	-0.360133	negative
652	FIRST	We have to bring back law and order.	0	neutral
653	FIRST	Now, whether or not in a place like Chicago you do stop and frisk, which worked very well, Mayor Giuliani is here, worked very well in New York.	0	neutral
654	FIRST	It brought the crime rate way down.	0	neutral
655	FIRST	But you take the gun away from criminals that shouldn't be having it.	-0.62007	negative
656	FIRST	We have gangs roaming the street.	-0.398878	negative
657	FIRST	And in many cases, they're illegally here, illegal immigrants.	-0.78908	negative
658	FIRST	And they have guns.	0	neutral
659	FIRST	And they shoot people.	0	neutral
660	FIRST	And we have to be very strong.	0.600581	positive
661	FIRST	And we have to be very vigilant.	0.538002	positive
662	FIRST	We have to be -- we have to know what we're doing.	0	neutral
663	FIRST	Right now, our police, in many cases, are afraid to do anything.	-0.788837	negative
664	FIRST	We have to protect our inner cities, because African-American communities are being decimated by crime, decimated.	-0.692131	negative
665	FIRST	Your two -- your two minutes expired, but I do want to follow up.	-0.528783	negative
666	FIRST	Stop-and-frisk was ruled unconstitutional in New York, because it largely singled out black and Hispanic young men.	-0.40133	negative
667	FIRST	No, you're wrong.	-0.71169	negative
668	FIRST	It went before a judge, who was a very against-police judge.	0	neutral
669	FIRST	It was taken away from her.	0	neutral
670	FIRST	And our mayor, our new mayor, refused to go forward with the case.	-0.302492	negative
671	FIRST	They would have won an appeal.	0	neutral
672	FIRST	If you look at it, throughout the country, there are many places where it's allowed.	0	neutral
673	FIRST	The argument is that it's a form of racial profiling.	0	neutral
674	FIRST	No, the argument is that we have to take the guns away from these people that have them and they are bad people that shouldn't have them.	-0.814235	negative
675	FIRST	These are felons.	-0.534012	negative
676	FIRST	These are people that are bad people that shouldn't be -- when you have 3,000 shootings in Chicago from January 1st, when you have 4,000 people killed in Chicago by guns, from the beginning of the presidency of Barack Obama, his hometown, you have to have stop-and-frisk.	-0.549168	negative
677	FIRST	You need more police.	0	neutral
678	FIRST	You need a better community, you know, relation.	0	neutral
679	FIRST	You don't have good community relations in Chicago.	0	neutral
680	FIRST	It's terrible.	-0.809717	negative
681	FIRST	I have property there.	-0.322334	negative
682	FIRST	It's terrible what's going on in Chicago.	-0.742825	negative
683	FIRST	But when you look -- and Chicago's not the only -- you go to Ferguson, you go to so many different places.	0	neutral
684	FIRST	You need better relationships.	0	neutral
685	FIRST	I agree with Secretary Clinton on this.	0	neutral
686	FIRST	You need better relationships between the communities and the police, because in some cases, it's not good.	-0.735306	negative
687	FIRST	But you look at Dallas, where the relationships were really studied, the relationships were really a beautiful thing, and then five police officers were killed one night very violently.	0	neutral
688	FIRST	So there's some bad things going on.	-0.62727	negative
689	FIRST	Some really bad things.	-0.704921	negative
690	FIRST	Secretary Clinton...	-0.395276	negative
691	FIRST	But we need -- Lester, we need law and order.	0	neutral
692	FIRST	And we need law and order in the inner cities, because the people that are most affected by what's happening are African-American and Hispanic people.	-0.38556	negative
693	FIRST	And it's very unfair to them what our politicians are allowing to happen.	-0.829541	negative
694	FIRST	Secretary Clinton?	-0.357956	negative
695	FIRST	Well, I've heard -- I've heard Donald say this at his rallies, and it's really unfortunate that he paints such a dire negative picture of black communities in our country.	-0.889586	negative
696	FIRST	Ugh.	-0.860735	negative
697	FIRST	You know, the vibrancy of the black church, the black businesses that employ so many people, the opportunities that so many families are working to provide for their kids.	0.684601	positive
698	FIRST	There's a lot that we should be proud of and we should be supporting and lifting up.	0.890065	positive
699	FIRST	But we do always have to make sure we keep people safe.	0.582454	positive
700	FIRST	There are the right ways of doing it, and then there are ways that are ineffective.	-0.658035	negative
701	FIRST	Stop-and-frisk was found to be unconstitutional and, in part, because it was ineffective.	-0.785327	negative
702	FIRST	It did not do what it needed to do.	-0.390195	negative
703	FIRST	Now, I believe in community policing.	0	neutral
704	FIRST	And, in fact, violent crime is one-half of what it was in 1991.	0	neutral
705	FIRST	Property crime is down 40 percent.	-0.650527	negative
706	FIRST	We just don't want to see it creep back up.	-0.494302	negative
707	FIRST	We've had 25 years of very good cooperation.	0	neutral
708	FIRST	But there were some problems, some unintended consequences.	-0.693665	negative
709	FIRST	Too many young African-American and Latino men ended up in jail for nonviolent offenses.	-0.375291	negative
710	FIRST	And it's just a fact that if you're a young African-American man and you do the same thing as a young white man, you are more likely to be arrested, charged, convicted, and incarcerated.	-0.31656	negative
711	FIRST	So we've got to address the systemic racism in our criminal justice system.	-0.308106	negative
712	FIRST	We cannot just say law and order.	0	neutral
713	FIRST	We have to say -- we have to come forward with a plan that is going to divert people from the criminal justice system, deal with mandatory minimum sentences, which have put too many people away for too long for doing too little.	-0.59658	negative
714	FIRST	We need to have more second chance programs.	0	neutral
715	FIRST	I'm glad that we're ending private prisons in the federal system; I want to see them ended in the state system.	0	neutral
716	FIRST	You shouldn't have a profit motivation to fill prison cells with young Americans.	-0.481494	negative
717	FIRST	So there are some positive ways we can work on this.	0	neutral
718	FIRST	And I believe strongly that commonsense gun safety measures would assist us.	0.865164	positive
719	FIRST	Right now -- and this is something Donald has supported, along with the gun lobby -- right now, we've got too many military- style weapons on the streets.	0.432584	positive
720	FIRST	In a lot of places, our police are outgunned.	-0.611486	negative
721	FIRST	We need comprehensive background checks, and we need to keep guns out of the hands of those who will do harm.	-0.485332	negative
722	FIRST	And we finally need to pass a prohibition on anyone who's on the terrorist watch list from being able to buy a gun in our country.	-0.488215	negative
723	FIRST	If you're too dangerous to fly, you are too dangerous to buy a gun.	-0.5802	negative
724	FIRST	So there are things we can do, and we ought to do it in a bipartisan way.	0	neutral
725	FIRST	Secretary Clinton, last week, you said we've got to do everything possible to improve policing, to go right at implicit bias.	-0.641627	negative
726	FIRST	Do you believe that police are implicitly biased against black people?	-0.381821	negative
727	FIRST	Lester, I think implicit bias is a problem for everyone, not just police.	-0.559834	negative
728	FIRST	I think, unfortunately, too many of us in our great country jump to conclusions about each other.	-0.687868	negative
729	FIRST	And therefore, I think we need all of us to be asking hard questions about, you know, why am I feeling this way?	-0.600683	negative
730	FIRST	But when it comes to policing, since it can have literally fatal consequences, I have said, in my first budget, we would put money into that budget to help us deal with implicit bias by retraining a lot of our police officers.	-0.761578	negative
731	FIRST	I've met with a group of very distinguished, experienced police chiefs a few weeks ago.	0.606167	positive
732	FIRST	They admit it's an issue.	0	neutral
733	FIRST	They've got a lot of concerns.	-0.687475	negative
734	FIRST	Mental health is one of the biggest concerns, because now police are having to handle a lot of really difficult mental health problems on the street.	-0.769931	negative
735	FIRST	They want support, they want more training, they want more assistance.	0.621585	positive
736	FIRST	And I think the federal government could be in a position where we would offer and provide that.	0	neutral
737	FIRST	Mr. Trump...	0	neutral
738	FIRST	I'd like to respond to that.	0	neutral
739	FIRST	Please.	0	neutral
740	FIRST	First of all, I agree, and a lot of people even within my own party want to give certain rights to people on watch lists and no- fly lists.	0.580392	positive
741	FIRST	I agree with you.	0.613774	positive
742	FIRST	When a person is on a watch list or a no-fly list, and I have the endorsement of the NRA, which I'm very proud of.	0.781044	positive
743	FIRST	These are very, very good people, and they're protecting the Second Amendment.	0.761359	positive
744	FIRST	But I think we have to look very strongly at no-fly lists and watch lists.	0.599415	positive
745	FIRST	And when people are on there, even if they shouldn't be on there, we'll help them, we'll help them legally, we'll help them get off.	0.79382	positive
746	FIRST	But I tend to agree with that quite strongly.	0	neutral
747	FIRST	I do want to bring up the fact that you were the one that brought up the words super-predator about young black youth.	0	neutral
748	FIRST	And that's a term that I think was a -- it's -- it's been horribly met, as you know.	0	neutral
749	FIRST	I think you've apologized for it.	0	neutral
750	FIRST	But I think it was a terrible thing to say.	-0.686538	negative
751	FIRST	And when it comes to stop-and-frisk, you know, you're talking about takes guns away.	0	neutral
752	FIRST	Well, I'm talking about taking guns away from gangs and people that use them.	0	neutral
753	FIRST	And I don't think -- I really don't think you disagree with me on this, if you want to know the truth.	-0.426145	negative
754	FIRST	I think maybe there's a political reason why you can't say it, but I really don't believe -- in New York City, stop-and-frisk, we had 2,200 murders, and stop-and-frisk brought it down to 500 murders.	-0.564891	negative
755	FIRST	Five hundred murders is a lot of murders.	-0.371752	negative
756	FIRST	It's hard to believe, 500 is like supposed to be good?	-0.554672	negative
757	FIRST	But we went from 2,200 to 500.	0	neutral
758	FIRST	And it was continued on by Mayor Bloomberg.	0	neutral
759	FIRST	And it was terminated by current mayor.	-0.295601	negative
760	FIRST	But stop-and- frisk had a tremendous impact on the safety of New York City.	0	neutral
761	FIRST	Tremendous beyond belief.	0	neutral
762	FIRST	So when you say it has no impact, it really did.	-0.481106	negative
763	FIRST	It had a very, very big impact.	0.609874	positive
764	FIRST	Well, it's also fair to say, if we're going to talk about mayors, that under the current mayor, crime has continued to drop, including murders.	0	neutral
765	FIRST	So there is...	0	neutral
766	FIRST	No, you're wrong.	-0.71169	negative
767	FIRST	You're wrong.	-0.603244	negative
768	FIRST	No, I'm not.	-0.573115	negative
769	FIRST	Murders are up.	0	neutral
770	FIRST	All right.	0.526333	positive
771	FIRST	You check it.	0	neutral
772	FIRST	New York -- New York has done an excellent job.	0.871332	positive
773	FIRST	And I give credit -- I give credit across the board going back two mayors, two police chiefs, because it has worked.	0	neutral
774	FIRST	And other communities need to come together to do what will work, as well.	0	neutral
775	FIRST	Look, one murder is too many.	0	neutral
776	FIRST	But it is important that we learn about what has been effective.	0.873837	positive
777	FIRST	And not go to things that sound good that really did not have the kind of impact that we would want.	-0.297556	negative
778	FIRST	Who disagrees with keeping neighborhoods safe?	0.433787	positive
779	FIRST	But let's also add, no one should disagree about respecting the rights of young men who live in those neighborhoods.	-0.559272	negative
780	FIRST	And so we need to do a better job of working, again, with the communities, faith communities, business communities, as well as the police to try to deal with this problem.	0.590432	positive
781	FIRST	This conversation is about race.	0	neutral
782	FIRST	And so, Mr. Trump, I have to ask you for five...	0	neutral
783	FIRST	I'd like to just respond, if I might.	0	neutral
784	FIRST	Please -- 20 seconds.	-0.311887	negative
785	FIRST	I'd just like to respond.	0	neutral
786	FIRST	Please respond, then I've got a quick follow-up for you.	0.729732	positive
787	FIRST	I will.	0	neutral
788	FIRST	Look, the African-American community has been let down by our politicians.	0	neutral
789	FIRST	They talk good around election time, like right now, and after the election, they said, see ya later, I'll see you in four years.	0.764459	positive
790	FIRST	The African-American community -- because -- look, the community within the inner cities has been so badly treated.	-0.492617	negative
791	FIRST	They've been abused and used in order to get votes by Democrat politicians, because that's what it is.	-0.344217	negative
792	FIRST	They've controlled these communities for up to 100 years.	0	neutral
793	FIRST	Mr. Trump, let me...	0	neutral
794	FIRST	(CROSSTALK)	0	neutral
795	FIRST	Well, I -- I do think...	0.450712	positive
796	FIRST	And I will tell you, you look at the inner cities -- and I just left Detroit, and I just left Philadelphia, and I just -- you know, you've seen me, I've been all over the place.	0	neutral
797	FIRST	You decided to stay home, and that's OK.	0	neutral
798	FIRST	But I will tell you, I've been all over.	0	neutral
799	FIRST	And I've met some of the greatest people I'll ever meet within these communities.	0.661774	positive
800	FIRST	And they are very, very upset with what their politicians have told them and what their politicians have done.	-0.745102	negative
801	FIRST	Mr. Trump, I...	0	neutral
802	FIRST	I think -- I think -- I think Donald just criticized me for preparing for this debate.	0.4375	positive
803	FIRST	And, yes, I did.	0	neutral
804	FIRST	And you know what else I prepared for?	0	neutral
805	FIRST	I prepared to be president.	0	neutral
806	FIRST	And I think that's a good thing.	0.535111	positive
807	FIRST	(APPLAUSE)	0	neutral
808	FIRST	Mr. Trump, for five years, you perpetuated a false claim that the nation's first black president was not a natural-born citizen.	0	neutral
809	FIRST	You questioned his legitimacy.	0	neutral
810	FIRST	In the last couple of weeks, you acknowledged what most Americans have accepted for years: The president was born in the United States.	0	neutral
811	FIRST	Can you tell us what took you so long?	0	neutral
812	FIRST	I'll tell you very -- well, just very simple to say.	0.581458	positive
813	FIRST	Sidney Blumenthal works for the campaign and close -- very close friend of Secretary Clinton.	0	neutral
814	FIRST	And her campaign manager, Patti Doyle, went to -- during the campaign, her campaign against President Obama, fought very hard.	-0.338299	negative
815	FIRST	And you can go look it up, and you can check it out.	0.709138	positive
816	FIRST	And if you look at CNN this past week, Patti Solis Doyle was on Wolf Blitzer saying that this happened.	-0.387245	negative
817	FIRST	Blumenthal sent McClatchy, highly respected reporter at McClatchy, to Kenya to find out about it.	0.589595	positive
818	FIRST	They were pressing it very hard.	-0.508758	negative
819	FIRST	She failed to get the birth certificate.	-0.368083	negative
820	FIRST	When I got involved, I didn't fail.	-0.308679	negative
821	FIRST	I got him to give the birth certificate.	0	neutral
822	FIRST	So I'm satisfied with it.	0.810938	positive
823	FIRST	And I'll tell you why I'm satisfied with it.	0.637205	positive
824	FIRST	That was...	0	neutral
825	FIRST	(CROSSTALK)	0	neutral
826	FIRST	Because I want to get on to defeating ISIS, because I want to get on to creating jobs, because I want to get on to having a strong border, because I want to get on to things that are very important to me and that are very important to the country.	0.717866	positive
827	FIRST	I will let you respond.	0	neutral
828	FIRST	It's important.	0.517621	positive
829	FIRST	But I just want to get the answer here.	-0.366409	negative
830	FIRST	The birth certificate was produced in 2011.	0	neutral
831	FIRST	You've continued to tell the story and question the president's legitimacy in 2012, '13, '14, '15...	0	neutral
832	FIRST	Yeah.	0	neutral
833	FIRST	.... as recently as January.	0	neutral
834	FIRST	So the question is, what changed your mind?	0	neutral
835	FIRST	Well, nobody was pressing it, nobody was caring much about it.	0	neutral
836	FIRST	I figured you'd ask the question tonight, of course.	0	neutral
837	FIRST	But nobody was caring much about it.	-0.445665	negative
838	FIRST	But I was the one that got him to produce the birth certificate.	0	neutral
839	FIRST	And I think I did a good job.	0.687806	positive
840	FIRST	Secretary Clinton also fought it.	0	neutral
841	FIRST	I mean, you know -- now, everybody in mainstream is going to say, oh, that's not true.	-0.428692	negative
842	FIRST	Look, it's true.	0.688203	positive
843	FIRST	Sidney Blumenthal sent a reporter -- you just have to take a look at CNN, the last week, the interview with your former campaign manager.	0	neutral
844	FIRST	And she was involved.	0	neutral
845	FIRST	But just like she can't bring back jobs, she can't produce.	-0.632208	negative
846	FIRST	I'm sorry.	-0.848206	negative
847	FIRST	I'm just going to follow up -- and I will let you respond to that, because there's a lot there.	0.620858	positive
848	FIRST	But we're talking about racial healing in this segment.	0	neutral
849	FIRST	What do you say to Americans, people of color who...	0	neutral
850	FIRST	(CROSSTALK)	0	neutral
851	FIRST	Well, it was very -- I say nothing.	-0.373389	negative
852	FIRST	I say nothing, because I was able to get him to produce it.	-0.470082	negative
853	FIRST	He should have produced it a long time before.	0	neutral
854	FIRST	I say nothing.	-0.48909	negative
855	FIRST	But let me just tell you.	0	neutral
856	FIRST	When you talk about healing, I think that I've developed very, very good relationships over the last little while with the African-American community.	0	neutral
857	FIRST	I think you can see that.	0	neutral
858	FIRST	And I feel that they really wanted me to come to that conclusion.	-0.615737	negative
859	FIRST	And I think I did a great job and a great service not only for the country, but even for the president, in getting him to produce his birth certificate.	0.483479	positive
860	FIRST	Secretary Clinton?	-0.357956	negative
861	FIRST	Well, just listen to what you heard.	0.580356	positive
862	FIRST	(LAUGHTER)	0	neutral
863	FIRST	And clearly, as Donald just admitted, he knew he was going to stand on this debate stage, and Lester Holt was going to be asking us questions, so he tried to put the whole racist birther lie to bed.	-0.712539	negative
864	FIRST	But it can't be dismissed that easily.	0	neutral
865	FIRST	He has really started his political activity based on this racist lie that our first black president was not an American citizen.	0	neutral
866	FIRST	There was absolutely no evidence for it, but he persisted, he persisted year after year, because some of his supporters, people that he was trying to bring into his fold, apparently believed it or wanted to believe it.	-0.411325	negative
867	FIRST	But, remember, Donald started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans, and he made sure that the people who worked for him understood that was the policy.	0	neutral
868	FIRST	He actually was sued twice by the Justice Department.	0	neutral
869	FIRST	So he has a long record of engaging in racist behavior.	-0.313131	negative
870	FIRST	And the birther lie was a very hurtful one.	-0.884827	negative
871	FIRST	You know, Barack Obama is a man of great dignity.	0.814919	positive
872	FIRST	And I could tell how much it bothered him and annoyed him that this was being touted and used against him.	-0.628063	negative
873	FIRST	But I like to remember what Michelle Obama said in her amazing speech at our Democratic National Convention: When they go low, we go high.	0	neutral
874	FIRST	And Barack Obama went high, despite Donald Trump's best efforts to bring him down.	-0.507447	negative
875	FIRST	Mr. Trump, you can respond and we're going to move on to the next segment.	0.642958	positive
876	FIRST	I would love to respond.	0.45003	positive
877	FIRST	First of all, I got to watch in preparing for this some of your debates against Barack Obama.	-0.413149	negative
878	FIRST	You treated him with terrible disrespect.	-0.562555	negative
879	FIRST	And I watched the way you talk now about how lovely everything is and how wonderful you are.	0.91834	positive
880	FIRST	It doesn't work that way.	-0.485162	negative
881	FIRST	You were after him, you were trying to -- you even sent out or your campaign sent out pictures of him in a certain garb, very famous pictures.	0	neutral
882	FIRST	I don't think you can deny that.	-0.51051	negative
883	FIRST	But just last week, your campaign manager said it was true.	0	neutral
884	FIRST	So when you tried to act holier than thou, it really doesn't work.	-0.688534	negative
885	FIRST	It really doesn't.	-0.593153	negative
886	FIRST	Now, as far as the lawsuit, yes, when I was very young, I went into my father's company, had a real estate company in Brooklyn and Queens, and we, along with many, many other companies throughout the country -- it was a federal lawsuit -- were sued.	0	neutral
887	FIRST	We settled the suit with zero -- with no admission of guilt.	-0.367604	negative
888	FIRST	It was very easy to do.	0.578012	positive
889	FIRST	I notice you bring that up a lot.	0	neutral
890	FIRST	And, you know, I also notice the very nasty commercials that you do on me in so many different ways, which I don't do on you.	-0.756317	negative
891	FIRST	Maybe I'm trying to save the money.	-0.517127	negative
892	FIRST	But, frankly, I look -- I look at that, and I say, isn't that amazing?	-0.425205	negative
893	FIRST	Because I settled that lawsuit with no admission of guilt, but that was a lawsuit brought against many real estate firms, and it's just one of those things.	0	neutral
894	FIRST	I'll go one step further.	0	neutral
895	FIRST	In Palm Beach, Florida, tough community, a brilliant community, a wealthy community, probably the wealthiest community there is in the world, I opened a club, and really got great credit for it.	0.90936	positive
896	FIRST	No discrimination against African- Americans, against Muslims, against anybody.	-0.471299	negative
897	FIRST	And it's a tremendously successful club.	0.798851	positive
898	FIRST	And I'm so glad I did it.	0.665298	positive
899	FIRST	And I have been given great credit for what I did.	0	neutral
900	FIRST	And I'm very, very proud of it.	0.871118	positive
901	FIRST	And that's the way I feel.	0	neutral
902	FIRST	That is the true way I feel.	0.496514	positive
903	FIRST	"Our next segment is called ""Securing America."""	0	neutral
904	FIRST	We want to start with a 21st century war happening every day in this country.	0	neutral
905	FIRST	Our institutions are under cyber attack, and our secrets are being stolen.	-0.664317	negative
906	FIRST	So my question is, who's behind it?	0	neutral
907	FIRST	And how do we fight it?	-0.343835	negative
908	FIRST	Secretary Clinton, this answer goes to you.	0	neutral
909	FIRST	Well, I think cyber security, cyber warfare will be one of the biggest challenges facing the next president, because clearly we're facing at this point two different kinds of adversaries.	-0.77373	negative
910	FIRST	There are the independent hacking groups that do it mostly for commercial reasons to try to steal information that they can use to make money.	0	neutral
911	FIRST	But increasingly, we are seeing cyber attacks coming from states, organs of states.	-0.60362	negative
912	FIRST	The most recent and troubling of these has been Russia.	-0.63301	negative
913	FIRST	There's no doubt now that Russia has used cyber attacks against all kinds of organizations in our country, and I am deeply concerned about this.	-0.508007	negative
914	FIRST	I know Donald's very praiseworthy of Vladimir Putin, but Putin is playing a really...	0	neutral
915	FIRST	(CROSSTALK)	0	neutral
916	FIRST	... tough, long game here.	-0.393809	negative
917	FIRST	And one of the things he's done is to let loose cyber attackers to hack into government files, to hack into personal files, hack into the Democratic National Committee.	-0.683657	negative
918	FIRST	And we recently have learned that, you know, that this is one of their preferred methods of trying to wreak havoc and collect information.	-0.599217	negative
919	FIRST	We need to make it very clear -- whether it's Russia, China, Iran or anybody else -- the United States has much greater capacity.	0	neutral
920	FIRST	And we are not going to sit idly by and permit state actors to go after our information, our private-sector information or our public-sector information.	-0.734303	negative
921	FIRST	And we're going to have to make it clear that we don't want to use the kinds of tools that we have.	0.489355	positive
922	FIRST	We don't want to engage in a different kind of warfare.	0	neutral
923	FIRST	But we will defend the citizens of this country.	-0.376097	negative
924	FIRST	And the Russians need to understand that.	0	neutral
925	FIRST	I think they've been treating it as almost a probing, how far would we go, how much would we do.	0.577534	positive
926	FIRST	And that's why I was so -- I was so shocked when Donald publicly invited Putin to hack into Americans.	-0.766889	negative
927	FIRST	That is just unacceptable.	-0.822548	negative
928	FIRST	It's one of the reasons why 50 national security officials who served in Republican information -- in administrations...	-0.413916	negative
929	FIRST	Your two minutes have expired.	-0.575161	negative
930	FIRST	... have said that Donald is unfit to be the commander- in-chief.	-0.611908	negative
931	FIRST	It's comments like that that really worry people who understand the threats that we face.	-0.625682	negative
932	FIRST	Mr. Trump, you have two minutes and the same question.	0	neutral
933	FIRST	Who's behind it?	0	neutral
934	FIRST	And how do we fight it?	-0.343835	negative
935	FIRST	I do want to say that I was just endorsed -- and more are coming next week -- it will be over 200 admirals, many of them here -- admirals and generals endorsed me to lead this country.	0	neutral
936	FIRST	That just happened, and many more are coming.	-0.451691	negative
937	FIRST	And I'm very proud of it.	0.846414	positive
938	FIRST	In addition, I was just endorsed by ICE.	0	neutral
939	FIRST	They've never endorsed anybody before on immigration.	-0.432809	negative
940	FIRST	I was just endorsed by ICE.	0	neutral
941	FIRST	I was just recently endorsed -- 16,500 Border Patrol agents.	0	neutral
942	FIRST	So when Secretary Clinton talks about this, I mean, I'll take the admirals and I'll take the generals any day over the political hacks that I see that have led our country so brilliantly over the last 10 years with their knowledge.	0.432042	positive
943	FIRST	OK?	0	neutral
944	FIRST	Because look at the mess that we're in.	-0.698214	negative
945	FIRST	Look at the mess that we're in.	-0.688566	negative
946	FIRST	As far as the cyber, I agree to parts of what Secretary Clinton said.	0	neutral
947	FIRST	We should be better than anybody else, and perhaps we're not.	0	neutral
948	FIRST	I don't think anybody knows it was Russia that broke into the DNC.	-0.533729	negative
949	FIRST	She's saying Russia, Russia, Russia, but I don't -- maybe it was.	-0.318526	negative
950	FIRST	I mean, it could be Russia, but it could also be China.	0	neutral
951	FIRST	It could also be lots of other people.	0	neutral
952	FIRST	It also could be somebody sitting on their bed that weighs 400 pounds, OK?	-0.315544	negative
953	FIRST	You don't know who broke in to DNC.	-0.35201	negative
954	FIRST	But what did we learn with DNC?	0	neutral
955	FIRST	We learned that Bernie Sanders was taken advantage of by your people, by Debbie Wasserman Schultz.	0	neutral
956	FIRST	Look what happened to her.	0	neutral
957	FIRST	But Bernie Sanders was taken advantage of.	0	neutral
958	FIRST	That's what we learned.	0	neutral
959	FIRST	Now, whether that was Russia, whether that was China, whether it was another country, we don't know, because the truth is, under President Obama we've lost control of things that we used to have control over.	-0.443098	negative
960	FIRST	We came in with the Internet, we came up with the Internet, and I think Secretary Clinton and myself would agree very much, when you look at what ISIS is doing with the Internet, they're beating us at our own game.	0.74098	positive
961	FIRST	ISIS.	0	neutral
962	FIRST	So we have to get very, very tough on cyber and cyber warfare.	-0.493349	negative
963	FIRST	It is -- it is a huge problem.	-0.522782	negative
964	FIRST	I have a son.	0	neutral
965	FIRST	He's 10 years old.	0	neutral
966	FIRST	He has computers.	0	neutral
967	FIRST	He is so good with these computers, it's unbelievable.	0.70602	positive
968	FIRST	The security aspect of cyber is very, very tough.	-0.424072	negative
969	FIRST	And maybe it's hardly doable.	-0.357066	negative
970	FIRST	But I will say, we are not doing the job we should be doing.	-0.404022	negative
971	FIRST	But that's true throughout our whole governmental society.	0.789545	positive
972	FIRST	We have so many things that we have to do better, Lester, and certainly cyber is one of them.	0	neutral
973	FIRST	Secretary Clinton?	-0.357956	negative
974	FIRST	Well, I think there are a number of issues that we should be addressing.	0	neutral
975	FIRST	I have put forth a plan to defeat ISIS.	-0.356176	negative
976	FIRST	It does involve going after them online.	-0.31953	negative
977	FIRST	I think we need to do much more with our tech companies to prevent ISIS and their operatives from being able to use the Internet to radicalize, even direct people in our country and Europe and elsewhere.	-0.583519	negative
978	FIRST	But we also have to intensify our air strikes against ISIS and eventually support our Arab and Kurdish partners to be able to actually take out ISIS in Raqqa, end their claim of being a Caliphate.	-0.426823	negative
979	FIRST	We're making progress.	0.632705	positive
980	FIRST	Our military is assisting in Iraq.	0	neutral
981	FIRST	And we're hoping that within the year we'll be able to push ISIS out of Iraq and then, you know, really squeeze them in Syria.	0	neutral
982	FIRST	But we have to be cognizant of the fact that they've had foreign fighters coming to volunteer for them, foreign money, foreign weapons, so we have to make this the top priority.	0	neutral
983	FIRST	And I would also do everything possible to take out their leadership.	0	neutral
984	FIRST	I was involved in a number of efforts to take out Al Qaida leadership when I was secretary of state, including, of course, taking out bin Laden.	-0.329549	negative
