ID	Speaker	CB	Text
396	CLINTON	0.13	That's not going to work.
397	COOPER	0.18	Mr. Trump, let me follow up on this.
398	TRUMP	0.09	Well, I just want -- just one thing.
399	TRUMP	0.24	First of all, Hillary, everything's broken about it.
400	TRUMP	0.19	Everything.
401	TRUMP	0.38	Number two, Bernie Sanders said that Hillary Clinton has very bad judgment.
402	TRUMP	0.2	This is a perfect example of it, trying to save Obamacare, which is a disaster.
403	COOPER	0.21	You've said you want to end Obamacare...
404	TRUMP	0.19	By the way...
405	COOPER	0.21	You've said you want to end Obamacare.
406	COOPER	0.28	You've also said you want to make coverage accessible for people with pre-existing conditions.
407	COOPER	0.36	How do you force insurance companies to do that if you're no longer mandating that every American get insurance?
408	TRUMP	0.28	We're going to be able to.
409	TRUMP	0.23	You're going to have plans...
410	COOPER	0.31	What does that mean?
411	TRUMP	0.11	Well, I'll tell you what it means.
412	TRUMP	0.25	You're going to have plans that are so good, because we're going to have so much competition in the insurance industry.
413	TRUMP	0.3	Once we break out -- once we break out the lines and allow the competition to come...
414	COOPER	0.42	Are you going -- are you going to have a mandate that Americans have to have health insurance?
415	TRUMP	0.32	President Obama -- Anderson, excuse me.
416	TRUMP	0.51	President Obama, by keeping those lines, the boundary lines around each state, it was almost gone until just very toward the end of the passage of Obamacare, which, by the way, was a fraud.
417	TRUMP	0.37	You know that, because Jonathan Gruber, the architect of Obamacare, was said -- he said it was a great lie, it was a big lie.
418	TRUMP	0.32	President Obama said you keep your doctor, you keep your plan.
419	TRUMP	0.19	The whole thing was a fraud, and it doesn't work.
420	TRUMP	0.19	But when we get rid of those lines, you will have competition, and we will be able to keep pre-existing, we'll also be able to help people that can't get -- don't have money because we are going to have people protected.
421	TRUMP	0.07	And Republicans feel this way, believe it or not, and strongly this way.
422	TRUMP	0.29	We're going to block grant into the states.
423	TRUMP	0.34	We're going to block grant into Medicaid into the states...
424	COOPER	0.17	Thank you, Mr. Trump.
425	TRUMP	0.27	... so that we will be able to take care of people without the necessary funds to take care of themselves.
426	COOPER	0.3	Thank you, Mr. Trump.
427	RADDATZ	0.26	We now go to Gorbah Hamed with a question for both candidates.
428	QUESTION	0.23	Hi.
429	QUESTION	0.64	There are 3.3 million Muslims in the United States, and I'm one of them.
430	QUESTION	0.67	You've mentioned working with Muslim nations, but with Islamophobia on the rise, how will you help people like me deal with the consequences of being labeled as a threat to the country after the election is over?
431	RADDATZ	0.3	Mr. Trump, you're first.
432	TRUMP	0.18	Well, you're right about Islamophobia, and that's a shame.
433	TRUMP	0.16	But one thing we have to do is we have to make sure that -- because there is a problem.
434	TRUMP	0.07	I mean, whether we like it or not, and we could be very politically correct, but whether we like it or not, there is a problem.
435	TRUMP	0.21	And we have to be sure that Muslims come in and report when they see something going on.
436	TRUMP	0.2	When they see hatred going on, they have to report it.
437	TRUMP	0.59	As an example, in San Bernardino, many people saw the bombs all over the apartment of the two people that killed 14 and wounded many, many people.
438	TRUMP	0.27	Horribly wounded.
439	TRUMP	0.29	They'll never be the same.
440	TRUMP	0.3	Muslims have to report the problems when they see them.
441	TRUMP	0.13	And, you know, there's always a reason for everything.
442	TRUMP	0.15	If they don't do that, it's a very difficult situation for our country, because you look at Orlando and you look at San Bernardino and you look at the World Trade Center.
443	TRUMP	0.21	Go outside.
444	TRUMP	0.18	Look at Paris.
445	TRUMP	0.23	Look at that horrible -- these are radical Islamic terrorists.
446	TRUMP	0.15	And she won't even mention the word and nor will President Obama.
447	TRUMP	0.26	"He won't use the term ""radical Islamic terrorism."""
448	TRUMP	0.22	Now, to solve a problem, you have to be able to state what the problem is or at least say the name.
449	TRUMP	0.16	She won't say the name and President Obama won't say the name.
450	TRUMP	0.17	But the name is there.
451	TRUMP	0.2	It's radical Islamic terror.
452	TRUMP	0.15	And before you solve it, you have to say the name.
453	RADDATZ	0.3	Secretary Clinton?
454	CLINTON	0.1	Well, thank you for asking your question.
455	CLINTON	0.37	And I've heard this question from a lot of Muslim-Americans across our country, because, unfortunately, there's been a lot of very divisive, dark things said about Muslims.
456	CLINTON	0.3	And even someone like Captain Khan, the young man who sacrificed himself defending our country in the United States Army, has been subject to attack by Donald.
457	CLINTON	0.15	I want to say just a couple of things.
458	CLINTON	0.45	First, we've had Muslims in America since George Washington.
459	CLINTON	0.33	And we've had many successful Muslims.
460	CLINTON	0.23	We just lost a particular well-known one with Muhammad Ali.
461	CLINTON	0.15	My vision of America is an America where everyone has a place, if you're willing to work hard, you do your part, you contribute to the community.
462	CLINTON	0.13	That's what America is.
463	CLINTON	0.11	That's what we want America to be for our children and our grandchildren.
464	CLINTON	0.29	It's also very short-sighted and even dangerous to be engaging in the kind of demagogic rhetoric that Donald has about Muslims.
465	CLINTON	0.21	We need American Muslims to be part of our eyes and ears on our front lines.
466	CLINTON	0.23	I've worked with a lot of different Muslim groups around America.
467	CLINTON	0.15	I've met with a lot of them, and I've heard how important it is for them to feel that they are wanted and included and part of our country, part of our homeland security, and that's what I want to see.
468	CLINTON	0.26	It's also important I intend to defeat ISIS, to do so in a coalition with majority Muslim nations.
469	CLINTON	0.4	Right now, a lot of those nations are hearing what Donald says and wondering, why should we cooperate with the Americans?
470	CLINTON	0.26	And this is a gift to ISIS and the terrorists, violent jihadist terrorists.
471	CLINTON	0.34	We are not at war with Islam.
472	CLINTON	0.29	And it is a mistake and it plays into the hands of the terrorists to act as though we are.
473	CLINTON	0.1	So I want a country where citizens like you and your family are just as welcome as anyone else.
474	RADDATZ	0.25	Thank you, Secretary Clinton.
475	RADDATZ	0.24	Mr. Trump, in December, you said this.
476	RADDATZ	0.33	Donald J. Trump is calling for a total and complete shutdown of Muslims entering the United States until our country's representatives can figure out what the hell is going on.
477	RADDATZ	0.28	We have no choice.
478	RADDATZ	0.28	We have no choice.
479	RADDATZ	0.33	Your running mate said this week that the Muslim ban is no longer your position.
480	RADDATZ	0.39	Is that correct?
481	RADDATZ	0.44	And if it is, was it a mistake to have a religious test?
482	TRUMP	0.3	First of all, Captain Khan is an American hero, and if I were president at that time, he would be alive today, because unlike her, who voted for the war without knowing what she was doing, I would not have had our people in Iraq.
483	TRUMP	0.27	Iraq was disaster.
484	TRUMP	0.19	So he would have been alive today.
485	TRUMP	0.25	The Muslim ban is something that in some form has morphed into a extreme vetting from certain areas of the world.
486	TRUMP	0.48	Hillary Clinton wants to allow hundreds of thousands -- excuse me.
487	TRUMP	0.43	Excuse me..
488	RADDATZ	0.47	And why did it morph into that?
489	RADDATZ	0.2	No, did you -- no, answer the question.
490	RADDATZ	0.19	Do you still believe...
491	TRUMP	0.17	Why don't you interrupt her?
492	TRUMP	0.16	You interrupt me all the time.
493	RADDATZ	0.23	I do.
494	TRUMP	0.16	Why don't you interrupt her?
495	RADDATZ	0.21	Would you please explain whether or not the Muslim ban still stands?
496	TRUMP	0.22	It's called extreme vetting.
497	TRUMP	0.41	We are going to areas like Syria where they're coming in by the tens of thousands because of Barack Obama.
498	TRUMP	0.64	And Hillary Clinton wants to allow a 550 percent increase over Obama.
499	TRUMP	0.4	People are coming into our country like we have no idea who they are, where they are from, what their feelings about our country is, and she wants 550 percent more.
500	TRUMP	0.11	This is going to be the great Trojan horse of all time.
501	TRUMP	0.26	We have enough problems in this country.
502	TRUMP	0.26	I believe in building safe zones.
503	TRUMP	0.21	I believe in having other people pay for them, as an example, the Gulf states, who are not carrying their weight, but they have nothing but money, and take care of people.
504	TRUMP	0.29	But I don't want to have, with all the problems this country has and all of the problems that you see going on, hundreds of thousands of people coming in from Syria when we know nothing about them.
505	TRUMP	0.15	We know nothing about their values and we know nothing about their love for our country.
506	RADDATZ	0.63	And, Secretary Clinton, let me ask you about that, because you have asked for an increase from 10,000 to 65,000 Syrian refugees.
507	RADDATZ	0.17	We know you want tougher vetting.
508	RADDATZ	0.24	That's not a perfect system.
509	RADDATZ	0.3	So why take the risk of having those refugees come into the country?
510	CLINTON	0.12	Well, first of all, I will not let anyone into our country that I think poses a risk to us.
511	CLINTON	0.28	But there are a lot of refugees, women and children -- think of that picture we all saw of that 4-year-old boy with the blood on his forehead because he'd been bombed by the Russian and Syrian air forces.
512	CLINTON	0.19	There are children suffering in this catastrophic war, largely, I believe, because of Russian aggression.
513	CLINTON	0.16	And we need to do our part.
514	CLINTON	0.26	We by no means are carrying anywhere near the load that Europe and others are.
515	CLINTON	0.19	But we will have vetting that is as tough as it needs to be from our professionals, our intelligence experts and others.
516	CLINTON	0.19	But it is important for us as a policy, you know, not to say, as Donald has said, we're going to ban people based on a religion.
517	CLINTON	0.18	How do you do that?
518	CLINTON	0.34	We are a country founded on religious freedom and liberty.
519	CLINTON	0.37	How do we do what he has advocated without causing great distress within our own county?
520	CLINTON	0.42	Are we going to have religious tests when people fly into our country?
521	CLINTON	0.4	And how do we expect to be able to implement those?
522	CLINTON	0.22	So I thought that what he said was extremely unwise and even dangerous.
523	CLINTON	0.36	And indeed, you can look at the propaganda on a lot of the terrorists sites, and what Donald Trump says about Muslims is used to recruit fighters, because they want to create a war between us.
524	CLINTON	0.27	And the final thing I would say, this is the 10th or 12th time that he's denied being for the war in Iraq.
525	CLINTON	0.28	We have it on tape.
526	CLINTON	0.33	The entire press corps has looked at it.
527	CLINTON	0.34	It's been debunked, but it never stops him from saying whatever he wants to say.
528	TRUMP	0.24	That's not been debunked.
529	CLINTON	0.23	So, please...
530	TRUMP	0.23	That has not been debunked.
531	CLINTON	0.13	... go to HillaryClinton.com and you can see it.
532	TRUMP	0.4	I was against -- I was against the war in Iraq.
533	TRUMP	0.23	Has not been debunked.
534	TRUMP	0.35	And you voted for it.
535	TRUMP	0.16	And you shouldn't have.
536	TRUMP	0.08	Well, I just want to say...
537	RADDATZ	0.19	There's been lots of fact-checking on that.
538	RADDATZ	0.13	I'd like to move on to an online question...
539	TRUMP	0.17	Excuse me.
540	TRUMP	0.3	She just went about 25 seconds over her time.
541	RADDATZ	0.17	She did not.
542	TRUMP	0.2	Could I just respond to this, please?
543	RADDATZ	0.22	Very quickly, please.
544	TRUMP	0.43	Hillary Clinton, in terms of having people come into our country, we have many criminal illegal aliens.
545	TRUMP	0.22	When we want to send them back to their country, their country says we don't want them.
546	TRUMP	0.33	In some cases, they're murderers, drug lords, drug problems.
547	TRUMP	0.19	And they don't want them.
548	TRUMP	0.36	And Hillary Clinton, when she was secretary of state, said that's OK, we can't force it into their country.
549	TRUMP	0.13	Let me tell you, I'm going to force them right back into their country.
550	TRUMP	0.21	They're murderers and some very bad people.
551	TRUMP	0.29	And I will tell you very strongly, when Bernie Sanders said she had bad judgment, she has really bad judgment, because we are letting people into this country that are going to cause problems and crime like you've never seen.
552	TRUMP	0.45	We're also letting drugs pour through our southern border at a record clip.
553	TRUMP	0.36	At a record clip.
554	TRUMP	0.11	And it shouldn't be allowed to happen.
555	TRUMP	0.21	ICE just endorsed me.
556	TRUMP	0.36	They've never endorsed a presidential candidate.
557	TRUMP	0.47	The Border Patrol agents, 16,500, just recently endorsed me, and they endorsed me because I understand the border.
558	TRUMP	0.17	She doesn't.
559	TRUMP	0.21	She wants amnesty for everybody.
560	TRUMP	0.27	Come right in.
561	TRUMP	0.31	Come right over.
562	TRUMP	0.18	It's a horrible thing she's doing.
563	TRUMP	0.17	She's got bad judgment, and honestly, so bad that she should never be president of the United States.
564	TRUMP	0.13	That I can tell you.
565	RADDATZ	0.17	Thank you, Mr. Trump.
566	RADDATZ	0.12	I want to move on.
567	RADDATZ	0.45	This next question from the public through the Bipartisan Open Debate Coalition's online forum, where Americans submitted questions that generated millions of votes.
568	RADDATZ	0.53	This question involves WikiLeaks release of purported excerpts of Secretary Clinton's paid speeches, which she has refused to release, and one line in particular, in which you, Secretary Clinton, purportedly say you need both a public and private position on certain issues.
569	RADDATZ	0.56	So, Tu (ph), from Virginia asks, is it OK for politicians to be two-faced?
570	RADDATZ	0.63	Is it acceptable for a politician to have a private stance on issues?
571	RADDATZ	0.34	Secretary Clinton, your two minutes.
572	CLINTON	0.13	Well, right.
573	CLINTON	0.32	"As I recall, that was something I said about Abraham Lincoln after having seen the wonderful Steven Spielberg movie called ""Lincoln."""
574	CLINTON	0.3	It was a master class watching President Lincoln get the Congress to approve the 13th Amendment.
575	CLINTON	0.25	It was principled, and it was strategic.
576	CLINTON	0.09	And I was making the point that it is hard sometimes to get the Congress to do what you want to do and you have to keep working at it.
577	CLINTON	0.45	And, yes, President Lincoln was trying to convince some people, he used some arguments, convincing other people, he used other arguments.
578	CLINTON	0.2	That was a great -- I thought a great display of presidential leadership.
579	CLINTON	0.27	But, you know, let's talk about what's really going on here, Martha, because our intelligence community just came out and said in the last few days that the Kremlin, meaning Putin and the Russian government, are directing the attacks, the hacking on American accounts to influence our election.
580	CLINTON	0.29	And WikiLeaks is part of that, as are other sites where the Russians hack information, we don't even know if it's accurate information, and then they put it out.
581	CLINTON	0.33	We have never in the history of our country been in a situation where an adversary, a foreign power, is working so hard to influence the outcome of the election.
582	CLINTON	0.14	And believe me, they're not doing it to get me elected.
583	CLINTON	0.2	They're doing it to try to influence the election for Donald Trump.
584	CLINTON	0.26	Now, maybe because he has praised Putin, maybe because he says he agrees with a lot of what Putin wants to do, maybe because he wants to do business in Moscow, I don't know the reasons.
585	CLINTON	0.21	But we deserve answers.
586	CLINTON	0.26	And we should demand that Donald release all of his tax returns so that people can see what are the entanglements and the financial relationships that he has...
587	RADDATZ	0.13	We're going to get to that later.
588	RADDATZ	0.29	Secretary Clinton, you're out of time.
589	CLINTON	0.36	... with the Russians and other foreign powers.
590	RADDATZ	0.17	Mr. Trump?
591	TRUMP	0.07	Well, I think I should respond, because -- so ridiculous.
592	TRUMP	0.19	Look, now she's blaming -- she got caught in a total lie.
593	TRUMP	0.38	Her papers went out to all her friends at the banks, Goldman Sachs and everybody else, and she said things -- WikiLeaks that just came out.
594	TRUMP	0.18	And she lied.
595	TRUMP	0.24	Now she's blaming the lie on the late, great Abraham Lincoln.
596	TRUMP	0.29	That's one that I haven't...
597	SYSTEM	0.26	(LAUGHTER)
598	TRUMP	0.32	OK, Honest Abe, Honest Abe never lied.
599	TRUMP	0.13	That's the good thing.
600	TRUMP	0.23	That's the big difference between Abraham Lincoln and you.
601	TRUMP	0.24	That's a big, big difference.
602	TRUMP	0.27	We're talking about some difference.
603	TRUMP	0.16	But as far as other elements of what she was saying, I don't know Putin.
604	TRUMP	0.13	I think it would be great if we got along with Russia because we could fight ISIS together, as an example.
605	TRUMP	0.14	But I don't know Putin.
606	TRUMP	0.17	But I notice, anytime anything wrong happens, they like to say the Russians are -- she doesn't know if it's the Russians doing the hacking.
607	TRUMP	0.14	Maybe there is no hacking.
608	TRUMP	0.16	But they always blame Russia.
609	TRUMP	0.16	And the reason they blame Russia because they think they're trying to tarnish me with Russia.
610	TRUMP	0.17	I know nothing about Russia.
611	TRUMP	0.17	I know -- I know about Russia, but I know nothing about the inner workings of Russia.
612	TRUMP	0.19	I don't deal there.
613	TRUMP	0.31	I have no businesses there.
614	TRUMP	0.37	I have no loans from Russia.
615	TRUMP	0.22	I have a very, very great balance sheet, so great that when I did the Old Post Office on Pennsylvania Avenue, the United States government, because of my balance sheet, which they actually know very well, chose me to do the Old Post Office, between the White House and Congress, chose me to do the Old Post Office.
616	TRUMP	0.27	One of the primary area things, in fact, perhaps the primary thing was balance sheet.
617	TRUMP	0.35	But I have no loans with Russia.
618	TRUMP	0.11	You could go to the United States government, and they would probably tell you that, because they know my sheet very well in order to get that development I had to have.
619	TRUMP	0.16	Now, the taxes are a very simple thing.
620	TRUMP	0.38	As soon as I have -- first of all, I pay hundreds of millions of dollars in taxes.
621	TRUMP	0.31	Many of her friends took bigger deductions.
622	TRUMP	0.31	Warren Buffett took a massive deduction.
623	TRUMP	0.27	Soros, who's a friend of hers, took a massive deduction.
624	TRUMP	0.36	Many of the people that are giving her all this money that she can do many more commercials than me gave her -- took massive deductions.
625	TRUMP	0.38	I pay hundreds of millions of dollars in taxes.
626	TRUMP	0.21	But -- but as soon as my routine audit is finished, I'll release my returns.
627	TRUMP	0.14	I'll be very proud to.
628	TRUMP	0.18	They're actually quite great.
629	RADDATZ	0.17	Thank you, Mr. Trump.
630	COOPER	0.17	We want to turn, actually, to the topic of taxes.
631	COOPER	0.22	We have a question from Spencer Maass.
632	COOPER	0.28	Spencer?
633	QUESTION	0.18	Good evening.
634	QUESTION	0.34	My question is, what specific tax provisions will you change to ensure the wealthiest Americans pay their fair share in taxes?
635	COOPER	0.22	Mr. Trump, you have two minutes.
636	TRUMP	0.19	Well, one thing I'd do is get rid of carried interest.
637	TRUMP	0.19	One of the greatest provisions for people like me, to be honest with you, I give up a lot when I run, because I knock out the tax code.
638	TRUMP	0.15	And she could have done this years ago, by the way.
639	TRUMP	0.17	She's a United States -- she was a United States senator.
640	TRUMP	0.27	She complains that Donald Trump took advantage of the tax code.
641	TRUMP	0.28	Well, why didn't she change it?
642	TRUMP	0.33	Why didn't you change it when you were a senator?
643	TRUMP	0.28	The reason you didn't is that all your friends take the same advantage that I do.
644	TRUMP	0.25	And I do.
645	TRUMP	0.23	You have provisions in the tax code that, frankly, we could change.
646	TRUMP	0.17	But you wouldn't change it, because all of these people gave you the money so you can take negative ads on Donald Trump.
647	TRUMP	0.17	But -- and I say that about a lot of things.
648	TRUMP	0.16	You know, I've heard Hillary complaining about so many different things over the years.
649	TRUMP	0.18	I wish you would have done this.
650	TRUMP	0.26	But she's been there for 30 years she's been doing this stuff.
651	TRUMP	0.26	She never changed.
652	TRUMP	0.16	And she never will change.
653	TRUMP	0.17	She never will change.
654	TRUMP	0.23	We're getting rid of carried interest provisions.
655	TRUMP	0.26	I'm lowering taxes actually, because I think it's so important for corporations, because we have corporations leaving -- massive corporations and little ones, little ones can't form.
656	TRUMP	0.3	We're getting rid of regulations which goes hand in hand with the lowering of the taxes.
657	TRUMP	0.7	But we're bringing the tax rate down from 35 percent to 15 percent.
658	TRUMP	0.27	We're cutting taxes for the middle class.
659	TRUMP	0.24	And I will tell you, we are cutting them big league for the middle class.
660	TRUMP	0.25	And I will tell you, Hillary Clinton is raising your taxes, folks.
661	TRUMP	0.09	You can look at me.
662	TRUMP	0.18	She's raising your taxes really high.
663	TRUMP	0.18	And what that's going to do is a disaster for the country.
664	TRUMP	0.2	But she is raising your taxes and I'm lowering your taxes.
665	TRUMP	0.21	That in itself is a big difference.
666	TRUMP	0.14	We are going to be thriving again.
667	TRUMP	0.29	We have no growth in this country.
668	TRUMP	0.22	There's no growth.
669	TRUMP	0.5	If China has a GDP of 7 percent, it's like a national catastrophe.
670	TRUMP	0.6	We're down at 1 percent.
671	TRUMP	0.18	And that's, like, no growth.
672	TRUMP	0.26	And we're going lower, in my opinion.
673	TRUMP	0.28	And a lot of it has to do with the fact that our taxes are so high, just about the highest in the world.
674	TRUMP	0.36	And I'm bringing them down to one of the lower in the world.
675	TRUMP	0.11	And I think it's so important -- one of the most important things we can do.
676	TRUMP	0.16	But she is raising everybody's taxes massively.
677	COOPER	0.35	Secretary Clinton, you have two minutes.
678	COOPER	0.47	The question was, what specific tax provisions will you change to ensure the wealthiest Americans pay their fair share of taxes?
679	CLINTON	0.24	Well, everything you've heard just now from Donald is not true.
680	CLINTON	0.21	I'm sorry I have to keep saying this, but he lives in an alternative reality.
681	CLINTON	0.4	And it is sort of amusing to hear somebody who hasn't paid federal income taxes in maybe 20 years talking about what he's going to do.
682	CLINTON	0.14	But I'll tell you what he's going to do.
683	CLINTON	0.56	His plan will give the wealthy and corporations the biggest tax cuts they've ever had, more than the Bush tax cuts by at least a factor of two.
684	CLINTON	0.15	Donald always takes care of Donald and people like Donald, and this would be a massive gift.
685	CLINTON	0.41	And, indeed, the way that he talks about his tax cuts would end up raising taxes on middle-class families, millions of middle-class families.
686	CLINTON	0.1	Now, here's what I want to do.
687	CLINTON	0.6	I have said nobody who makes less than $250,000 a year -- and that's the vast majority of Americans as you know -- will have their taxes raised, because I think we've got to go where the money is.
688	CLINTON	0.4	And the money is with people who have taken advantage of every single break in the tax code.
689	CLINTON	0.42	And, yes, when I was a senator, I did vote to close corporate loopholes.
690	CLINTON	0.52	I voted to close, I think, one of the loopholes he took advantage of when he claimed a billion-dollar loss that enabled him to avoid paying taxes.
691	CLINTON	0.39	I want to have a tax on people who are making a million dollars.
692	CLINTON	0.2	It's called the Buffett rule.
693	CLINTON	0.56	Yes, Warren Buffett is the one who's gone out and said somebody like him should not be paying a lower tax rate than his secretary.
694	CLINTON	0.5	I want to have a surcharge on incomes above $5 million.
695	CLINTON	0.23	We have to make up for lost times, because I want to invest in you.
696	CLINTON	0.13	I want to invest in hard-working families.
697	CLINTON	0.28	And I think it's been unfortunate, but it's happened, that since the Great Recession, the gains have all gone to the top.
698	CLINTON	0.15	And we need to reverse that.
699	CLINTON	0.31	People like Donald, who paid zero in taxes, zero for our vets, zero for our military, zero for health and education, that is wrong.
700	COOPER	0.17	Thank you, Secretary.
701	CLINTON	0.17	And we're going to make sure that nobody, no corporation, and no individual can get away without paying his fair share to support our country.
702	COOPER	0.14	Thank you.
703	COOPER	0.07	I want to give you -- Mr. Trump, I want to give you the chance to respond.
704	COOPER	0.15	I just wanted to tell our viewers what she's referring to.
705	COOPER	0.31	In the last month, taxes were the number-one issue on Facebook for the first time in the campaign.
706	COOPER	0.57	The New York Times published three pages of your 1995 tax returns.
707	COOPER	0.68	They show you claimed a $916 million loss, which means you could have avoided paying personal federal income taxes for years.
708	COOPER	0.34	You've said you pay state taxes, employee taxes, real estate taxes, property taxes.
709	COOPER	0.17	You have not answered, though, a simple question.
710	COOPER	0.68	Did you use that $916 million loss to avoid paying personal federal income taxes for years?
711	TRUMP	0.16	Of course I do.
712	TRUMP	0.16	Of course I do.
713	TRUMP	0.13	And so do all of her donors, or most of her donors.
714	TRUMP	0.15	I know many of her donors.
715	TRUMP	0.26	Her donors took massive tax write-offs.
716	COOPER	0.48	So have you (inaudible) personal federal income tax?
717	TRUMP	0.21	A lot of my -- excuse me, Anderson -- a lot of my write- off was depreciation and other things that Hillary as a senator allowed.
718	TRUMP	0.09	And she'll always allow it, because the people that give her all this money, they want it.
719	TRUMP	0.21	That's why.
720	TRUMP	0.2	See, I understand the tax code better than anybody that's ever run for president.
721	TRUMP	0.31	Hillary Clinton -- and it's extremely complex -- Hillary Clinton has friends that want all of these provisions, including they want the carried interest provision, which is very important to Wall Street people.
722	TRUMP	0.16	But they really want the carried interest provision, which I believe Hillary's leaving.
723	TRUMP	0.18	Very interesting why she's leaving carried interest.
724	TRUMP	0.22	But I will tell you that, number one, I pay tremendous numbers of taxes.
725	TRUMP	0.23	I absolutely used it.
726	TRUMP	0.4	And so did Warren Buffett and so did George Soros and so did many of the other people that Hillary is getting money from.
727	TRUMP	0.18	Now, I won't mention their names, because they're rich, but they're not famous.
728	TRUMP	0.16	So we won't make them famous.
729	COOPER	0.25	So can you -- can you say how many years you have avoided paying personal federal income taxes?
730	TRUMP	0.29	No, but I pay tax, and I pay federal tax, too.
731	TRUMP	0.16	But I have a write-off, a lot of it's depreciation, which is a wonderful charge.
732	TRUMP	0.17	I love depreciation.
733	TRUMP	0.21	You know, she's given it to us.
734	TRUMP	0.23	Hey, if she had a problem -- for 30 years she's been doing this, Anderson.
735	TRUMP	0.15	I say it all the time.
736	TRUMP	0.23	She talks about health care.
737	TRUMP	0.22	Why didn't she do something about it?
738	TRUMP	0.19	She talks about taxes.
739	TRUMP	0.2	Why didn't she do something about it?
740	TRUMP	0.22	She doesn't do anything about anything other than talk.
741	TRUMP	0.1	With her, it's all talk and no action.
742	COOPER	0.15	In the past...
743	TRUMP	0.18	And, again, Bernie Sanders, it's really bad judgment.
744	TRUMP	0.18	She has made bad judgment not only on taxes.
745	TRUMP	0.24	She's made bad judgments on Libya, on Syria, on Iraq.
746	TRUMP	0.19	I mean, her and Obama, whether you like it or not, the way they got out of Iraq, the vacuum they've left, that's why ISIS formed in the first place.
747	TRUMP	0.36	They started from that little area, and now they're in 32 different nations, Hillary.
748	TRUMP	0.15	Congratulations.
749	TRUMP	0.21	Great job.
750	COOPER	0.26	Secretary -- I want you to be able to respond, Secretary Clinton.
751	CLINTON	0.1	Well, here we go again.
752	CLINTON	0.26	I've been in favor of getting rid of carried interest for years, starting when I was a senator from New York.
753	CLINTON	0.2	But that's not the point here.
754	TRUMP	0.28	Why didn't you do it?
755	TRUMP	0.35	Why didn't you do it?
756	COOPER	0.21	Allow her to respond.
757	CLINTON	0.22	Because I was a senator with a Republican president.
758	TRUMP	0.31	Oh, really?
759	CLINTON	0.15	I will be the president and we will get it done.
760	CLINTON	0.28	That's exactly right.
761	TRUMP	0.27	You could have done it, if you were an effective -- if you were an effective senator, you could have done it.
762	TRUMP	0.23	If you were an effective senator, you could have done it.
763	TRUMP	0.21	But you were not an effective senator.
764	COOPER	0.23	Please allow her to respond.
765	COOPER	0.19	She didn't interrupt you.
766	CLINTON	0.22	You know, under our Constitution, presidents have something called veto power.
767	CLINTON	0.36	"Look, he has now said repeatedly, ""30 years this and 30 years that."""
768	CLINTON	0.1	So let me talk about my 30 years in public service.
769	CLINTON	0.1	I'm very glad to do so.
770	CLINTON	0.53	Eight million kids every year have health insurance, because when I was first lady I worked with Democrats and Republicans to create the Children's Health Insurance Program.
771	CLINTON	0.39	Hundreds of thousands of kids now have a chance to be adopted because I worked to change our adoption and foster care system.
772	CLINTON	0.48	After 9/11, I went to work with Republican mayor, governor and president to rebuild New York and to get health care for our first responders who were suffering because they had run toward danger and gotten sickened by it.
773	CLINTON	0.59	Hundreds of thousands of National Guard and Reserve members have health care because of work that I did, and children have safer medicines because I was able to pass a law that required the dosing to be more carefully done.
774	CLINTON	0.6	When I was secretary of state, I went around the world advocating for our country, but also advocating for women's rights, to make sure that women had a decent chance to have a better life and negotiated a treaty with Russia to lower nuclear weapons.
775	CLINTON	0.28	Four hundred pieces of legislation have my name on it as a sponsor or cosponsor when I was a senator for eight years.
776	CLINTON	0.43	I worked very hard and was very proud to be re-elected in New York by an even bigger margin than I had been elected the first time.
777	CLINTON	0.25	And as president, I will take that work, that bipartisan work, that finding common ground, because you have to be able to get along with people to get things done in Washington.
778	COOPER	0.17	Thank you, secretary.
779	CLINTON	0.31	I've proven that I can, and for 30 years, I've produced results for people.
780	COOPER	0.17	Thank you, secretary.
781	RADDATZ	0.19	We're going to move on to Syria.
782	RADDATZ	0.29	Both of you have mentioned that.
783	TRUMP	0.27	She said a lot of things that were false.
784	TRUMP	0.16	I mean, I think we should be allowed to maybe...
785	RADDATZ	0.17	No, we can -- no, Mr. Trump, we're going to go on.
786	RADDATZ	0.19	This is about the audience.
787	TRUMP	0.17	Excuse me.
788	TRUMP	0.15	Because she has been a disaster as a senator.
789	TRUMP	0.21	A disaster.
790	RADDATZ	0.19	Mr. Trump, we're going to move on.
791	RADDATZ	0.63	The heart-breaking video of a 5-year-old Syrian boy named Omran sitting in an ambulance after being pulled from the rubble after an air strike in Aleppo focused the world's attention on the horrors of the war in Syria, with 136 million views on Facebook alone.
792	RADDATZ	0.64	But there are much worse images coming out of Aleppo every day now, where in the past few weeks alone, 400 people have been killed, at least 100 of them children.
793	RADDATZ	0.49	Just days ago, the State Department called for a war crimes investigation of the Syrian regime of Bashar al-Assad and its ally, Russia, for their bombardment of Aleppo.
794	RADDATZ	0.22	So this next question comes through social media through Facebook.
795	RADDATZ	0.4	Diane from Pennsylvania asks, if you were president, what would you do about Syria and the humanitarian crisis in Aleppo?
796	RADDATZ	0.52	Isn't it a lot like the Holocaust when the U.S. waited too long before we helped?
797	RADDATZ	0.32	Secretary Clinton, we will begin with your two minutes.
798	CLINTON	0.22	Well, the situation in Syria is catastrophic.
